SMILES,ATSC0c,ATSC0se,AATS0i,ATSC1p,AATSC2se,AATSC0m,AATSC1Z,AATSC2are,AATSC1pe,SpDiam_A,ATSC1c,ATSC1se,ATSC1Z,ATSC1m,ATSC4s
CC(C)c1cc2c(c(O)c1O)C13CCCC(C)(C)C1CC2OC3=O,1.1809032087811855,3.911704319999999,161.7110243528095,1.2505477836391075,0.010396120658823524,35.0394338496,0.2358641509433958,0.018634823529411763,-0.005478001509433968,5.379855112389798,-0.688898306775706,-0.2592313792000015,12.500799999999977,64.43748833119952,-15.009311111111113
O=P(O)(O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.60025072124696,10.543210579999997,169.61853876057657,-2.1207860229163535,0.0034196477406592866,54.62256973958063,1.3159529411764692,0.007357448791208869,-0.09663194117647056,4.9643877124946725,-1.6348437123007582,-4.0519422916000005,67.11359999999993,307.97029365075394,-55.065126962353304
CC(C)[C@@H]1NC(=O)[C@H](C)NC1=O,0.6012017668645672,2.370470153846153,169.09941054940327,-0.3401766138461515,0.018109077416173566,36.85974869822485,-0.005917159763312803,0.03320860453648911,-0.006987573964497101,4.693909633036837,-0.4341273087249127,-0.17630523076923038,-0.15384615384613287,-0.2963292307691603,-24.86341222879684
O[C@@H]1[C@@H](O)[C@@H](O)CO[C@H]1O,0.9927926969613394,3.9094799999999994,170.5202364852495,0.3643955140000023,-0.03675839999999998,44.21852024999999,-1.0,-0.051428571428571476,-0.07286875000000016,4.636027029465004,-0.5066224767388358,-1.2403279999999999,-20.0,-85.70012600000011,-13.102222222222217
C/C=C\c1ccc(OC(=O)Cc2ccccc2)c(OC)c1,0.7460797967733936,2.900220923076922,158.13256419138415,-0.6390365389907412,0.008846641420118324,34.332435940828404,0.33136094674556177,0.012934911242603537,0.004358505917159743,4.664159687590473,-0.34199689781633585,0.0022365917159757605,13.254437869822471,60.825370059172144,6.895755716268538
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,1.8089264905531328,4.977772888888886,159.1740150165135,0.8633351169481553,-0.016193981680605332,36.66891253395061,-0.22888239116309378,-0.01806451612903227,-0.026015529564652414,4.936965892962656,-0.8295823226519279,-0.8179296049382714,-8.697530864197564,-33.44518540123424,47.727409122085035
CCC(C)C(=O)C1=C(O)C2(CC=C(C)C)CC3C(C)(C)CCC3(C1=O)C2=O,0.8029103376164229,4.028299932203389,162.2955965772198,1.0745355005316743,0.003791249066360249,34.28130256822752,0.1381457184434462,0.010544383797759273,-0.002667482492782679,5.308562221661401,-0.27572221368202887,-0.11892176041367553,8.426888825050218,43.76082069405314,75.80346284592551
CC(C)=CCC12CC3C(C)(C)CCC3(C(=O)C(C(=O)CC(C)C)=C1O)C2=O,0.8023795372787199,4.028299932203389,162.2955965772198,1.0745355005316741,0.003791249066360249,34.28130256822752,0.13814571844344628,0.010544383797759273,-0.00266748249278268,5.303723591925628,-0.27188522627595374,-0.11892176041367553,8.426888825050224,43.76082069405312,99.2797687446136
CC1NC(=O)C(Cc2ccccc2)NC1=O,0.6320598977348438,2.372055466666667,163.45873662148287,0.1757974976960066,0.013676822716049378,35.395546559999985,0.09949820788530382,0.02216943209876541,-0.0063902652329749935,4.6960126613617605,-0.4236959761820075,-0.17085224888888856,3.0844444444444186,16.31445283999993,-33.31481481481482
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=N)Nc1ccc(C#N)cc1,1.753047775840584,5.480678109090908,164.10979224727689,0.31013827340004163,0.020566380833711723,35.97430386247934,-0.11953955135773282,0.029258986468077418,-0.015859400826446154,4.629877225134885,-1.172693479888141,-0.7038717474380186,-6.694214876033038,-26.217978789751385,-58.49
COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3O[C@H]3OC(C)C(O)C(O)C3O)cc2O)cc1O,3.546960168051169,12.395143898734174,164.41831304342364,1.4394326587663695,-0.01884349026458243,40.068662280403785,-0.3173154708634083,-0.023783249277560977,-0.03562830182780263,4.936658531410231,-1.7056650936443944,-2.5266568062810495,-26.019868610799477,-102.89215565133883,48.18392262635972
CCOC1CC=C(C=NO)CC1,0.4791717528090616,2.2052936296296286,166.55765257736056,-0.11662543992592343,-0.008103486282578854,35.597380691358026,0.18381344307270217,-0.012986616941015086,0.01389410150891629,4.456656431893271,-0.13980177533683857,0.2708091851851866,4.962962962962958,21.353711999999938,-0.26200274348422425
O=C1[N-]S(=O)(=O)c2ccccc21.[Na+],1.5595114186688832,7.572220470588235,148.7391135457866,15.896260178823521,0.0633278357637173,62.25883838294543,2.761245674740485,0.08486571922886799,0.0027117647058823575,,-0.2058344461475196,0.3660494705882356,46.941176470588246,196.99189361344668,
CC1NC(=O)C(Cc2ccc(O)cc2)NC1=O,0.9747734223373268,3.1376854193548387,164.16817369183826,0.5372928443771194,0.012209631633714874,36.62955139854319,-0.125,0.021111077476113883,-0.016811085457856523,4.704929265944667,-0.6394172388671597,-0.40309540062434923,-4.0,-14.634453269511209,-43.39756041160829
