SMILES,BCUT2D_MRHI,AXp-6dv,piPC4,GATS1d,Kappa3,AATS7i,AATS8i,GATS2v,MATS1v,GATS2m,MATS2s,MATS2d,GATS3dv,GATS4dv,ATSC5c,ATSC5d,GATS6s,ATSC7dv,MPC5,BCUTi-1h,fr_Ndealkylation1,MINssO,MDEC-13,PEOE_VSA8,MINdO,BCUTdv-1l,fr_NH0,naHRing,SlogP_VSA10
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,7.980473126319656,0.036589057232004105,4.419593336473464,0.9652466367713006,7.618411990544398,162.60616403203883,166.18811091236145,0.9514039602138497,-0.06988820085870527,1.1978944198595947,0.2967242487575954,-0.0593261422857835,1.0387689328246041,0.7488458203260493,-0.3161651474383626,-5.011357490535426,1.5035258915279766,-1.5414939006069286,29.0,14.594880170625403,0.0,,1.6465164701101374,19.345281995336553,10.349270408450499,0.6517896498093365,2.0,1.0,0.0
CC(C)(C)c1cccc(NS(=O)(=O)O)c1,7.86684818017893,0.023929249735843747,4.383587915240834,1.4191489361702128,3.8888773955205482,167.220079021187,182.0729279341613,0.8753895164669219,0.0266739322734747,0.7441384065227952,0.6346075589394238,-0.1595744680851064,1.002658030418569,0.5524200778958088,0.012369944187726668,-3.5,1.0012236791282128,15.527407407407399,28.0,14.539662636336624,0.0,,2.121320343559643,0.0,10.606077569916856,0.6444437092137791,0.0,0.0,5.687386274683562
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCCc1ccc(OC)c(O)c1,5.8965898492935835,0.018915461495880758,5.003946305945459,0.9527110927152321,8.45547229452892,162.27439698997557,163.16385025355493,1.048059548178328,0.014043689365748114,0.9142598563186735,0.11066843733672177,-0.11908378394799206,1.04720633161615,1.0982261590990778,0.5331761443533587,-1.2962962962962967,1.1088673337449428,-128.72285210380454,69.0,14.54150993151835,0.0,4.800214473842278,2.5777224231407985,6.4208216229260096,11.281797986562736,0.9966233696368446,0.0,0.0,0.0
COc1cc(O)c2c(c1C(=O)C=Cc1ccc(O)cc1)OC(C)(C)CC2,6.107636542095426,0.013517125892511445,5.320567975482857,0.8622556390977443,3.517246698484249,159.3491618014531,160.5582603475137,0.846643854223441,0.0443713423906955,0.7274923200270592,0.06838878371970859,-0.01565678903140203,1.0931958669855164,0.8311721085530147,-0.4197819015107886,-21.40625,1.6740165006666627,-172.9027777777778,93.0,13.637382557496737,0.0,5.321549254917761,4.893749991381961,11.629818560158606,12.881124968505919,0.9925693712227528,0.0,0.0,0.0
O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,5.942389663376695,0.009001440517187567,6.1551234515873,0.8798492573708712,9.670673499995056,155.7318592014729,156.49656590548332,0.9531329436700797,0.17308698822208107,0.6750469215109292,-0.005257486480714838,-0.2007684918347742,0.9576299238662696,1.2886864193988095,3.1743873582266793,19.62962962962963,0.7942901704633822,-129.93388429752068,227.0,13.662379827227543,0.0,5.249413633947329,,0.0,13.274272686095863,1.9875112232289593,0.0,0.0,0.0
O=S(=O)(O)Nc1ccc(N2CCOCC2)cc1,7.866847823192784,0.01820290181654932,4.470209200553974,1.2351562500000006,3.5844029942902473,173.86191460794484,164.53921206720904,0.9827891874435172,-0.01283203220211474,0.9236963839498522,0.5081340788732418,-0.07369047619047614,1.161104691872955,0.6297945763150439,0.21094459663645396,4.219562955254942,0.9642412389146509,28.51254480286739,40.0,14.543633161489808,0.0,5.244398049891827,,18.776899086508713,10.604752181941036,0.6444476992765299,1.0,0.0,11.374772549367124
COc1cc(O)c(CC(O)C(C)(C)O)c(O)c1C(=O)C=Cc1ccc(O)cc1,6.105823246820878,0.013008246954393126,5.247024072160486,0.9572208377833158,4.818165039915981,160.37105575141433,161.85416812802836,0.9002966966381929,0.08781765118848399,0.737202336685019,0.006705839631496922,-0.12976216294368537,1.0356185146321557,0.856243441762854,-0.29818569934033023,-9.078402366863903,1.4878828135516862,-70.8594674556213,75.0,13.637759047403476,0.0,5.103492715172234,5.01472956489707,18.050640183084617,12.661993693310658,0.9925749639742291,0.0,0.0,0.0
COC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,5.958714526846687,0.011889797486936029,4.652769164787371,1.0456484641638224,6.481992023824693,163.4727330800587,167.18831128853998,1.0202437431735658,0.002360700768935963,0.7689954378222967,0.14369533748341887,-0.16780432309442542,1.161046348378214,1.2313303533418474,0.5414287751684574,2.4132231404958686,0.8664559287330131,-46.57024793388429,47.0,14.563466710478703,0.0,4.460108477373504,3.2590833479869006,5.687386274683562,10.926389324983855,0.9937300525215965,1.0,0.0,10.481923458755384
CCCCCCCCCC(=O)OCC(O)CO,5.687439906838545,0.04829012688053047,2.833213344056216,1.3800675675675675,11.649909031838858,167.21764723576655,167.84716970243153,1.3781113188920666,-0.043606068207732,1.1422233135794762,0.0252972328454536,-0.20473839223839221,0.8947058350962698,1.0437776764782496,0.018721630314834543,-2.2093023255813957,1.0486206892486734,-16.912925905895072,14.0,13.642940202625084,0.0,4.790867341733143,0.19245008972987526,6.4208216229260096,11.18364744317531,0.9879376779635415,0.0,0.0,0.0
O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,6.022877421710059,0.010915251673016227,5.178970608915471,0.8169845268082045,2.2029693527502374,159.4242803962092,160.3053198326704,0.9628279270556278,0.15417415734159567,0.6864263570034814,-0.00568401011394457,-0.11829794890248291,1.0722392361736623,0.9918032786885246,-0.6904423870902466,0.1386593204775023,1.0050332677197378,-1.264462809917359,76.0,13.63749271300994,0.0,5.611340702947846,,12.13273413692322,12.119726158982111,1.9850939148842572,0.0,0.0,0.0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,5.83488937423532,0.018880829612553524,5.288267030694535,0.7876654935478464,2.5024063339993896,160.1444486219207,163.0070525922934,0.9511660067888648,0.02486511915648924,0.9916712799788474,-0.04660880063214824,-0.014061207609594705,1.0160700804103204,0.8993593279307566,0.08352280127536071,3.0625,1.1226446215282597,-67.03125,105.0,14.54815779640167,0.0,5.3495717015634945,2.9131036028843837,24.169665021138407,,0.9975707310193398,2.0,1.0,0.0
CC(C(=O)O)C1CCC(C23CCC(=O)C(C)(C)C2C(=O)OC3)C(C(=O)O)C1,5.92323156291843,0.023021401843172112,4.653960350157523,1.0447170557973884,2.95033445667327,166.3557495852271,167.90009165127938,1.0251209955046279,0.0609493035396962,0.751043408846047,0.18711117368268934,-0.04191785770733148,0.949748985430822,1.0400752916456912,0.04115144110720123,-6.092231404958675,1.1822578982736474,44.18512396694215,114.0,13.647703961368322,0.0,5.402816804190812,6.320745950401286,17.25080256171957,11.354200885135453,0.9920538803426049,0.0,0.0,0.0
CCC(C)C(=O)OC(C)C1(O)CCC2(O)C3CCC4CC(OC5CC(O)C(OC6CC(OC)C(OC7CC(OC)C(OC8OC(C)C(OC9OC(CO)C(OC%10OC(CO)C(O)C(O)C%10O)C(O)C9O)C(OC)C8O)C(C)O7)C(C)O6)C(C)O5)CCC4(C)C3CC(OC(C)=O)C12C,5.718824643951718,0.018625851009819224,5.768320995793772,1.078640440309919,14.74670925316317,164.13303334866168,166.23757115599076,1.0651297512258537,0.02152535519369947,0.9495623997349437,-0.04162305071407409,0.018291326523752566,1.1784741217905654,1.1205690098128118,0.6370671003106783,-2.6196973512511184,0.9456813361614925,-102.43565852430116,419.0,13.664792695507348,0.0,5.400909036659026,0.0,47.51559469230125,12.873482858657493,0.9873787807600827,0.0,0.0,0.0
C=C(C)CCc1c(O)cc(OC)c(C(=O)C=Cc2ccc(O)cc2)c1O,6.105761329184188,0.013668492738704364,5.231108616854587,0.7598027975235039,4.446942405999047,158.52114670828288,160.06432060179128,0.8983127096236262,0.05815430671147048,0.7744694107946944,0.03249209652607229,-0.014364955198406974,0.9195652173913046,0.8489879430032885,-0.6659269623213432,-9.694444444444443,1.5754973748441587,-77.53472222222221,69.0,13.63730887975483,0.0,5.151161956479868,5.252888538857636,11.629818560158606,12.611765558075081,0.995485318199412,0.0,0.0,0.0
